fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
28.7967,16.0021,2.6449,0.3918,0.1982,27.7004,22.011,-8.2027,40.092,81.8828,1
23.8172,9.5728,2.3385,0.6147,0.3922,27.2107,-6.4633,-7.1513,10.449,116.737,1
51.624,21.1502,2.9085,0.242,0.134,50.8761,43.1887,9.8145,3.613,238.098,1
48.2468,17.3565,3.0332,0.2529,0.1515,8.573,38.0957,10.5868,4.792,219.087,1
96.2327,46.5165,4.154,0.0779,0.039,110.355,85.0486,43.1844,4.854,248.226,1
60.458,33.1061,3.1944,0.4679,0.2464,14.3,-33.8765,28.8315,8.292,372.568,1
46.2915,16.0328,2.7756,0.3403,0.192,49.9706,33.3653,-12.7979,38.707,75.5234,1
44.7394,15.6364,2.638,0.3107,0.1715,14.043,37.2246,12.4183,3.251,221.806,1
26.7065,18.907,2.6781,0.4281,0.2214,9.1616,18.6858,-11.6888,26.881,63.7637,1
50.4829,25.9699,3.3194,0.1941,0.1133,32.1193,39.0162,-18.1839,22.471,141.601,1
87.4217,26.7866,3.4231,0.2809,0.1761,10.4779,68.3446,-24.0948,0.3647,371.79,1
75.2057,31.6833,3.1334,0.192,0.0997,-58.1243,43.08,10.3219,1.5926,282.915,1
84.61,36.4657,3.6809,0.1393,0.0714,54.4505,86.0228,16.1472,17.575,258.597,1
38.1817,15.9235,2.6906,0.3262,0.1662,10.1326,26.1095,-3.1071,2.572,177.008,1
16.7608,11.3962,2.2989,0.5829,0.3291,-0.8645,5.0177,-5.7427,62.618,169.688,1
27.6746,18.9149,2.5422,0.3759,0.2224,30.937,20.242,15.143,19.3719,223.241,1
38.1627,25.1091,3.1041,0.247,0.1279,37.2749,22.8564,16.227,5.5119,188.124,1
12.974,10.9058,2.1021,0.7431,0.4704,13.7506,-6.2434,-6.5973,42.2408,168.245,1
35.9913,19.4494,2.7466,0.3297,0.1801,-34.0069,-25.3956,-6.3628,0.2425,175.99,1
33.4858,15.0766,2.7969,0.3623,0.1891,33.3189,19.1818,-6.8774,12.9506,169.066,1
96.8578,39.4755,3.9903,0.1204,0.0679,-59.0369,66.0291,-26.431,3.8107,340.996,1
22.7945,14.8676,2.567,0.5203,0.294,-8.7481,-20.3785,12.765,6.7835,110.258,1
34.9502,16.0121,3.0663,0.297,0.1644,-12.5192,11.1413,-7.5776,17.6684,201.404,1
19.5793,14.6976,2.2934,0.514,0.2824,-6.8054,17.3916,-4.9889,13.17,130.918,1
21.8344,6.832,2.1804,0.7063,0.3531,25.981,-0.1704,6.6103,35.4993,95.7374,1
87.5837,33.3742,3.9208,0.125,0.0667,99.2131,75.0174,-14.3854,2.428,255.315,1
41.0677,16.2578,2.7308,0.3532,0.1812,47.4405,37.9125,16.1237,17.671,213.317,1
18.1607,10.4502,2.2718,0.6043,0.3289,1.7266,-7.66,-6.3001,43.3661,147.236,1
41.4001,25.658,3.0414,0.2036,0.1023,39.265,30.5051,-23.3496,0.6344,91.228,1
29.3424,16.1814,2.5496,0.3272,0.165,-51.8263,23.7665,7.7365,39.189,168.084,1
47.8275,18.509,2.747,0.2775,0.1603,28.7838,-29.0817,-7.859,4.798,159.704,1
73.2547,19.5552,2.5545,0.357,0.1939,-44.1258,34.5939,16.6915,23.149,282.616,1
29.3108,14.6309,2.6464,0.4402,0.2223,6.1452,-19.1932,11.3697,24.109,69.2467,1
13.1994,10.8032,2.224,0.7761,0.4209,-14.5262,1.8356,-11.7029,54.0277,181.817,1
